
Viruses-Human_herpesvirus_6B,4
Viridiplantae-Magnoliophyta-eudicotyledons-Araliaceae-Panax_ginseng,21
Metazoa-Bilateria-Deuterostoma-Chordata-Vertebrata-Pisces-Paralichthys_olivaceus,2
Metazoa-Bilateria-Ecdysozoa-Arthropoda-Hexapoda-Acyrthosiphon_pisum,99
Viridiplantae-Embryophyta-Physcomitrella_patens,141
Metazoa-Bilateria-Deuterostoma-Chordata-Vertebrata-Mammalia-Primates-Hominidae-Pongo_pygmaeus,40
Viridiplantae-Magnoliophyta-eudicotyledons-Fabaceae-Arachis_hypogaea,20
Viridiplantae-Magnoliophyta-monocotyledons-Hordeum_vulgare,27
Viruses-Herpesvirus_of_turkeys,15
Viridiplantae-Magnoliophyta-eudicotyledons-Brassicaceae-Brassica_rapa,15
Viridiplantae-Magnoliophyta-monocotyledons-Sorghum_bicolor,112
Metazoa-Bilateria-Ecdysozoa-Nematoda-Brugia_malayi,91
Metazoa-Bilateria-Deuterostoma-Chordata-Cephalochordata-Branchiostoma_floridae,129
Metazoa-Bilateria-Deuterostoma-Chordata-Cephalochordata-Branchiostoma_belcheri,29
Viridiplantae-Magnoliophyta-eudicotyledons-Euphorbiaceae-Ricinus_communis,39
Metazoa-Bilateria-Lophotrochozoa-Brachiopoda-Glottidia_pyramidata,1
Metazoa-Bilateria-Deuterostoma-Chordata-Vertebrata-Pisces-Fugu_rubripes,36
Metazoa-Bilateria-Ecdysozoa-Arthropoda-Hexapoda-Manduca_sexta,83
Metazoa-Bilateria-Ecdysozoa-Arthropoda-Hexapoda-Culex_quinquefasciatus,40
Metazoa-Porifera-Amphimedon_queenslandica,7
Metazoa-Bilateria-Lophotrochozoa-Molusca-Lottia_gigantea,59
Viruses-Human_cytomegalovirus,15
Metazoa-Bilateria-Ecdysozoa-Arthropoda-Hexapoda-Bombyx_mori,405
Viridiplantae-Magnoliophyta-eudicotyledons-Ranunculaceae-Aquilegia_caerulea,30
Metazoa-Bilateria-Ecdysozoa-Arthropoda-Hexapoda-Heliconius_melpomene,60
Viruses-Human_immunodeficiency_virus_1,3
Viruses-Simian_virus_40,1
Metazoa-Bilateria-Ecdysozoa-Arthropoda-Hexapoda-Aedes_aegypti,64
Viruses-Infectious_laryngotracheitis_virus,7
Metazoa-Bilateria-Ecdysozoa-Arthropoda-Hexapoda-Drosophila_melanogaster,152
Viridiplantae-Magnoliophyta-eudicotyledons-Fabaceae-Medicago_truncatula,302
Metazoa-Bilateria-Ecdysozoa-Arthropoda-Hexapoda-Drosophila_erecta,3
Viridiplantae-Magnoliophyta-monocotyledons-Aegilops_tauschii,2
Viridiplantae-Magnoliophyta-eudicotyledons-Asteraceae-Helianthus_tuberosus,4
Viruses-Duck_enteritis_virus,24
Metazoa-Bilateria-Ecdysozoa-Arthropoda-Hexapoda-Drosophila_mojavensis,13
